Wavelength,S1
nm,CPS
325,1483470
326,1567660
327,1648870
328,1720380
329,1785890
330,1844530
331,1885970
332,1907020
333,1923750
334,1935100
335,1945600
336,1958780
337,1965500
338,1995250
339,2018540
340,2022790
341,2043610
342,2058410
343,2059340
344,2071910
345,2064290
346,2074780
347,2068160
348,2074410
349,2067500
350,2059540
351,2050390
352,2051720
353,2033290
354,2007770
355,1988840
356,1972410
357,1948470
358,1925450
359,1905670
360,1870410
361,1847940
362,1815750
363,1779440
364,1753540
365,1715500
366,1685210
367,1651180
368,1611610
369,1572650
370,1540650
371,1507060
372,1478310
373,1442450
374,1408400
375,1378640
376,1343270
377,1296700
378,1270810
379,1229540
380,1200310
381,1177080
382,1130910
383,1109540
384,1073290
385,1045280
386,1002640
387,976240
388,935220
389,902400
390,872880
391,848040
392,817230
393,786000
394,758640
395,730050
396,704020
397,677500
398,653590
399,628130
400,603000
401,585290
402,560330
403,537620
404,519310
405,498670
406,476830
407,457640
408,433680
409,421280
410,407720
411,388760
412,373890
413,358870
414,342970
415,329920
416,317120
417,308450
418,295340
419,280630
420,270970
421,260160
422,251570
423,245270
424,233500
425,222020
426,214650
427,207640
428,200980
429,190150
430,185240
431,178500
432,173220
433,167770
434,160430
435,154730
436,147970
437,144080
438,139460
439,133400
440,128010
441,123460
442,120070
443,114850
444,108780
445,106300
446,102500
447,97070
448,94950
449,91410
450,88370
