Type (buffer or volume in microliters),Filename
Buffer,Emission Data/DetTitr(01).csv
1,Emission Data/DetTitr(02).csv
2,Emission Data/DetTitr(03).csv
3,Emission Data/DetTitr(04).csv
4,Emission Data/DetTitr(05).csv
5,Emission Data/DetTitr(06).csv
6,Emission Data/DetTitr(07).csv
7,Emission Data/DetTitr(08).csv
8,Emission Data/DetTitr(09).csv
9,Emission Data/DetTitr(10).csv
10,Emission Data/DetTitr(11).csv
11,Emission Data/DetTitr(12).csv
12,Emission Data/DetTitr(13).csv
13,Emission Data/DetTitr(14).csv
